,label,text,original_length,text_untokenized
1454,0,"['can', 'all', 'decide', 'faster', 'cos', 'my', 'sis', 'going', 'home', 'liao']",53,can all decide faster cos my sis going home liao
1455,1,"['summers', 'finally', 'here', 'fancy', 'a', 'chat', 'or', 'flirt', 'with', 'sexy', 'singles', 'in', 'yr', 'area', 'to', 'get', 'matched', 'up', 'just', 'reply', 'summer', 'now', 'free', 'join', 'optout', 'txt', 'stop', 'help']",159,summers finally here fancy a chat or flirt with sexy singles in yr area to get matched up just reply summer now free join optout txt stop help
1456,0,"['u', 'sleeping', 'now', 'or', 'you', 'going', 'to', 'take', 'haha', 'i', 'got', 'spys', 'wat', 'me', 'online', 'checking', 'n', 'replying', 'mails', 'lor']",104,u sleeping now or you going to take haha i got spys wat me online checking n replying mails lor
1457,1,"['claire', 'here', 'am', 'havin', 'borin', 'time', 'am', 'now', 'alone', 'u', 'wanna', 'cum', 'over', 'nite', 'chat', 'now', 'hope', 'c', 'u', 'luv', 'claire', 'xx', 'calls', 'minmoremobsemspobox', 'po', 'wa']",154,claire here am havin borin time am now alone u wanna cum over nite chat now hope c u luv claire xx calls minmoremobsemspobox po wa
1458,0,"['fighting', 'with', 'the', 'world', 'is', 'easy', 'u', 'either', 'win', 'or', 'lose', 'bt', 'fightng', 'with', 'some', 'who', 'is', 'close', 'to', 'u', 'is', 'dificult', 'if', 'u', 'lose', 'u', 'lose', 'if', 'u', 'win', 'u', 'still', 'lose']",149,fighting with the world is easy u either win or lose bt fightng with some who is close to u is dificult if u lose u lose if u win u still lose
1459,1,"['bought', 'one', 'ringtone', 'and', 'now', 'getting', 'texts', 'costing', 'pound', 'offering', 'more', 'tones', 'etc']",81,bought one ringtone and now getting texts costing pound offering more tones etc
1460,0,"['yalru', 'lyfu', 'astne', 'chikku', 'bt', 'innu', 'mundhe', 'lyf', 'ali', 'halla', 'ke', 'bilo', 'marriage', 'program', 'edhae', 'so', 'lyf', 'is', 'nt', 'yet', 'ovr', 'chikku', 'ali', 'vargu', 'lyfu', 'meow', 'meow', 'd']",144,yalru lyfu astne chikku bt innu mundhe lyf ali halla ke bilo marriage program edhae so lyf is nt yet ovr chikku ali vargu lyfu meow meow d
1461,0,"['kinda', 'first', 'one', 'gets', 'in', 'at', 'twelve', 'aah', 'speak', 'tomo']",51,kinda first one gets in at twelve aah speak tomo
1462,1,"['urgent', 'your', 'mobile', 'no', 'xxxxxxxxx', 'won', 'a', 'bonus', 'caller', 'prize', 'on', 'this', 'is', 'the', 'nd', 'attempt', 'to', 'reach', 'you', 'call', 'asap']",153,urgent your mobile no xxxxxxxxx won a bonus caller prize on this is the nd attempt to reach you call asap
1463,0,"['ok', 'good', 'then', 'i', 'later', 'come', 'find', 'c', 'lucky', 'i', 'told', 'to', 'go', 'earlier', 'later', 'pple', 'take', 'finish', 'no', 'more', 'again']",114,ok good then i later come find c lucky i told to go earlier later pple take finish no more again
1464,0,"['wat', 'makes', 'u', 'thk', 'i', 'll', 'fall', 'down', 'but', 'actually', 'i', 'thk', 'i', 'm', 'quite', 'prone', 'falls', 'lucky', 'my', 'dad', 'at', 'home', 'i', 'ask', 'him', 'come', 'n', 'fetch', 'me', 'already']",131,wat makes u thk i ll fall down but actually i thk i m quite prone falls lucky my dad at home i ask him come n fetch me already
1465,1,"['you', 'are', 'guaranteed', 'the', 'latests', 'nokia', 'phone', 'a', 'gb', 'ipod', 'mp', 'player', 'or', 'a', 'prize', 'txt', 'word', 'collect', 'to', 'no', 'tc', 'llc', 'ny', 'usa', 'p', 'mt', 'msgrcvd']",159,you are guaranteed the latests nokia phone a gb ipod mp player or a prize txt word collect to no tc llc ny usa p mt msgrcvd
1466,0,"['your', 'account', 'has', 'been', 'refilled', 'successfully', 'by', 'inr', 'decimal', 'your', 'keralacircle', 'prepaid', 'account', 'balance', 'is', 'rs', 'decimal', 'your', 'transaction', 'id', 'is', 'kr']",174,your account has been refilled successfully by inr decimal your keralacircle prepaid account balance is rs decimal your transaction id is kr
1467,0,"['i', 'wont', 'touch', 'you', 'with', 'out', 'your', 'permission']",42,i wont touch you with out your permission
1468,1,"['hi', 'its', 'lucy', 'hubby', 'at', 'meetins', 'all', 'day', 'fri', 'i', 'will', 'b', 'alone', 'at', 'hotel', 'u', 'fancy', 'cumin', 'over', 'pls', 'leave', 'msg', 'day', 'lucy', 'x', 'calls', 'minmobsmorelkpobox', 'hp', 'fl']",161,hi its lucy hubby at meetins all day fri i will b alone at hotel u fancy cumin over pls leave msg day lucy x calls minmobsmorelkpobox hp fl
1469,0,"['wonders', 'in', 'my', 'world', 'th', 'you', 'th', 'ur', 'style', 'th', 'ur', 'smile', 'th', 'ur', 'personality', 'rd', 'ur', 'nature', 'nd', 'ur', 'sms', 'and', 'st', 'ur', 'lovely', 'friendship', 'good', 'morning', 'dear']",153,wonders in my world th you th ur style th ur smile th ur personality rd ur nature nd ur sms and st ur lovely friendship good morning dear
1470,0,"['take', 'some', 'small', 'dose', 'tablet', 'for', 'fever']",37,take some small dose tablet for fever
1471,0,"['oh', 'u', 'must', 'have', 'taken', 'your', 'real', 'valentine', 'out', 'shopping', 'first']",61,oh u must have taken your real valentine out shopping first
1472,0,"['just', 'sent', 'you', 'an', 'email', 'to', 'an', 'address', 'with', 'incomm', 'in', 'it', 'is', 'that', 'right']",74,just sent you an email to an address with incomm in it is that right
1473,0,"['will', 'do', 'you', 'gonna', 'be', 'at', 'blake', 's', 'all', 'night', 'i', 'might', 'be', 'able', 'to', 'get', 'out', 'of', 'here', 'a', 'little', 'early']",93,will do you gonna be at blake s all night i might be able to get out of here a little early
1474,0,"['friendship', 'is', 'not', 'a', 'game', 'to', 'play', 'it', 'is', 'not', 'a', 'word', 'to', 'say', 'it', 'doesn', 't', 'start', 'on', 'march', 'and', 'ends', 'on', 'may', 'it', 'is', 'tomorrow', 'yesterday', 'today', 'and', 'e']",141,friendship is not a game to play it is not a word to say it doesn t start on march and ends on may it is tomorrow yesterday today and e
1475,0,"['nice', 'wait', 'should', 'you', 'be', 'texting', 'right', 'now', 'i', 'm', 'not', 'gonna', 'pay', 'your', 'ticket', 'ya', 'know']",85,nice wait should you be texting right now i m not gonna pay your ticket ya know
1476,0,"['i', 'm', 'watching', 'lotr', 'w', 'my', 'sis', 'dis', 'aft', 'so', 'u', 'wan', 'meet', 'me', 'dinner', 'at', 'nite', 'a', 'not']",78,i m watching lotr w my sis dis aft so u wan meet me dinner at nite a not
1477,0,"['why', 'you', 'keeping', 'me', 'away', 'like', 'this']",33,why you keeping me away like this
1478,0,"['i', 'think', 'its', 'far', 'more', 'than', 'that', 'but', 'find', 'out', 'check', 'google', 'maps', 'for', 'a', 'place', 'from', 'your', 'dorm']",90,i think its far more than that but find out check google maps for a place from your dorm
1479,0,"['my', 'trip', 'was', 'ok', 'but', 'quite', 'tiring', 'lor', 'uni', 'starts', 'today', 'but', 'it', 's', 'ok', 'me', 'cos', 'i', 'm', 'not', 'taking', 'any', 'modules', 'but', 'jus', 'concentrating', 'on', 'my', 'final', 'yr', 'project']",147,my trip was ok but quite tiring lor uni starts today but it s ok me cos i m not taking any modules but jus concentrating on my final yr project
1480,0,"['have', 'you', 'always', 'been', 'saying', 'welp']",33,have you always been saying welp
1481,0,"['i', 'm', 'a', 'guy', 'browsin', 'is', 'compulsory']",32,i m a guy browsin is compulsory
1482,0,['ok'],5,ok
1483,0,"['purity', 'of', 'friendship', 'between', 'two', 'is', 'not', 'about', 'smiling', 'after', 'reading', 'the', 'forwarded', 'message', 'its', 'about', 'smiling', 'just', 'by', 'seeing', 'the', 'name', 'gud', 'evng', 'musthu']",149,purity of friendship between two is not about smiling after reading the forwarded message its about smiling just by seeing the name gud evng musthu
1484,0,"['sorry', 'i', 'll', 'call', 'later']",22,sorry i ll call later
1485,0,"['i', 'should', 'add', 'that', 'i', 'don', 't', 'really', 'care', 'and', 'if', 'you', 'can', 't', 'i', 'can', 'at', 'least', 'get', 'this', 'dude', 'to', 'fuck', 'off', 'but', 'hey', 'your', 'money', 'if', 'you', 'want', 'it']",132,i should add that i don t really care and if you can t i can at least get this dude to fuck off but hey your money if you want it
1486,0,"['hello', 'lover', 'how', 'goes', 'that', 'new', 'job', 'are', 'you', 'there', 'now', 'are', 'you', 'happy', 'do', 'you', 'think', 'of', 'me', 'i', 'wake', 'my', 'slave', 'and', 'send', 'you', 'a', 'teasing', 'kiss', 'from', 'across', 'the', 'sea']",154,hello lover how goes that new job are you there now are you happy do you think of me i wake my slave and send you a teasing kiss from across the sea
1487,0,"['i', 'told', 'your', 'number', 'to', 'gautham']",31,i told your number to gautham
1488,0,"['tell', 'them', 'no', 'need', 'to', 'investigate', 'about', 'me', 'anywhere']",51,tell them no need to investigate about me anywhere
1489,0,"['ok', 'i', 'juz', 'receive']",18,ok i juz receive
1490,0,"['cant', 'believe', 'i', 'said', 'so', 'many', 'things', 'to', 'you', 'this', 'morning', 'when', 'all', 'i', 'really', 'wanted', 'to', 'say', 'was', 'good', 'morning', 'i', 'love', 'you', 'have', 'a', 'beautiful', 'morning', 'see', 'you', 'in', 'the', 'library', 'later']",172,cant believe i said so many things to you this morning when all i really wanted to say was good morning i love you have a beautiful morning see you in the library later
1491,1,"['your', 'account', 'has', 'been', 'credited', 'with', 'free', 'text', 'messages', 'to', 'activate', 'just', 'txt', 'the', 'word', 'credit', 'to', 'no', 't', 'cs', 'www', 'biz']",130,your account has been credited with free text messages to activate just txt the word credit to no t cs www biz
1492,0,"['in', 'the', 'end', 'she', 'might', 'still', 'vomit', 'but', 'its', 'okay', 'not', 'everything', 'will', 'come', 'out']",76,in the end she might still vomit but its okay not everything will come out
1493,0,"['how', 'are', 'you', 'with', 'money', 'as', 'in', 'to', 'you', 'money', 'aint', 'a', 'thing', 'how', 'are', 'you', 'sha']",78,how are you with money as in to you money aint a thing how are you sha
1494,0,"['it', 'has', 'everything', 'to', 'do', 'with', 'the', 'weather', 'keep', 'extra', 'warm', 'its', 'a', 'cold', 'but', 'nothing', 'serious', 'pls', 'lots', 'of', 'vitamin', 'c']",112,it has everything to do with the weather keep extra warm its a cold but nothing serious pls lots of vitamin c
1495,0,"['hey', 'gals', 'anyone', 'of', 'u', 'going', 'down', 'to', 'e', 'driving', 'centre', 'tmr']",58,hey gals anyone of u going down to e driving centre tmr
1496,0,"['i', 'm', 'always', 'on', 'yahoo', 'messenger', 'now', 'just', 'send', 'the', 'message', 'to', 'me', 'and', 'i', 'll', 'get', 'it', 'you', 'may', 'have', 'to', 'send', 'it', 'in', 'the', 'mobile', 'mode', 'sha', 'but', 'i', 'll', 'get', 'it', 'and', 'will', 'reply']",158,i m always on yahoo messenger now just send the message to me and i ll get it you may have to send it in the mobile mode sha but i ll get it and will reply
1497,0,"['i', 'm', 'putting', 'it', 'on', 'now', 'it', 'should', 'be', 'ready', 'for', 'time']",60,i m putting it on now it should be ready for time
1498,0,"['time', 'n', 'smile', 'r', 'the', 'two', 'crucial', 'things', 'in', 'our', 'life', 'sometimes', 'time', 'makes', 'us', 'to', 'forget', 'smile', 'and', 'sometimes', 'someone', 's', 'smile', 'makes', 'us', 'to', 'forget', 'time', 'gud', 'noon']",154,time n smile r the two crucial things in our life sometimes time makes us to forget smile and sometimes someone s smile makes us to forget time gud noon
1499,1,"['sms', 'ac', 'jsco', 'energy', 'is', 'high', 'but', 'u', 'may', 'not', 'know', 'where', 'channel', 'it', 'day', 'ur', 'leadership', 'skills', 'r', 'strong', 'psychic', 'reply', 'ans', 'w', 'question', 'end', 'reply', 'end', 'jsco']",154,sms ac jsco energy is high but u may not know where channel it day ur leadership skills r strong psychic reply ans w question end reply end jsco
1500,0,"['host', 'based', 'idps', 'for', 'linux', 'systems']",34,host based idps for linux systems
1501,1,"['hot', 'live', 'fantasies', 'call', 'now', 'just', 'p', 'per', 'min', 'ntt', 'ltd', 'po', 'box', 'croydon', 'cr', 'wb', 'is', 'a', 'national', 'rate', 'call']",122,hot live fantasies call now just p per min ntt ltd po box croydon cr wb is a national rate call
1502,0,"['don', 'no', 'da', 'whats', 'you', 'plan']",26,don no da whats you plan
1503,0,"['ill', 'be', 'there', 'on', 'ok']",31,ill be there on ok
1504,0,"['oh', 'my', 'god', 'i', 'm', 'almost', 'home']",26,oh my god i m almost home
1505,0,"['total', 'video', 'converter', 'free', 'download', 'type', 'this', 'in', 'google', 'search']",64,total video converter free download type this in google search
1506,1,"['thanks', 'for', 'the', 'vote', 'now', 'sing', 'along', 'with', 'the', 'stars', 'with', 'karaoke', 'on', 'your', 'mobile', 'for', 'a', 'free', 'link', 'just', 'reply', 'with', 'sing', 'now']",121,thanks for the vote now sing along with the stars with karaoke on your mobile for a free link just reply with sing now
1507,0,"['wen', 'ur', 'lovable', 'bcums', 'angry', 'wid', 'u', 'dnt', 'take', 'it', 'seriously', 'coz', 'being', 'angry', 'is', 'd', 'most', 'childish', 'n', 'true', 'way', 'of', 'showing', 'deep', 'affection', 'care', 'n', 'luv', 'kettoda', 'manda', 'have', 'nice', 'day', 'da']",179,wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da
1508,0,"['sounds', 'like', 'something', 'that', 'someone', 'testing', 'me', 'would', 'sayy']",56,sounds like something that someone testing me would sayy
1509,0,"['when', 'u', 'love', 'someone', 'dont', 'make', 'them', 'to', 'love', 'u', 'as', 'much', 'as', 'u', 'do', 'but', 'love', 'them', 'so', 'much', 'that', 'they', 'dont', 'want', 'to', 'be', 'loved', 'by', 'anyone', 'except', 'you', 'gud', 'nit']",148,when u love someone dont make them to love u as much as u do but love them so much that they dont want to be loved by anyone except you gud nit
1510,0,"['pete', 'is', 'this', 'your', 'phone', 'still', 'its', 'jenny', 'from', 'college', 'and', 'leanne', 'what', 'are', 'you', 'up', 'to', 'now']",90,pete is this your phone still its jenny from college and leanne what are you up to now
1511,0,"['oops', 'sorry', 'just', 'to', 'check', 'that', 'you', 'don', 't', 'mind', 'picking', 'me', 'up', 'tomo', 'at', 'half', 'eight', 'from', 'station', 'would', 'that', 'be', 'ok']",110,oops sorry just to check that you don t mind picking me up tomo at half eight from station would that be ok
1512,0,"['hey', 'sweet', 'i', 'was', 'wondering', 'when', 'you', 'had', 'a', 'moment', 'if', 'you', 'might', 'come', 'to', 'me', 'i', 'want', 'to', 'send', 'a', 'file', 'to', 'someone', 'but', 'it', 'won', 't', 'go', 'over', 'yahoo', 'for', 'them', 'because', 'their', 'connection', 'sucks', 'remember', 'when', 'you', 'set', 'up', 'that', 'page', 'for', 'me', 'to', 'go', 'to', 'and', 'download', 'the', 'format', 'disc', 'could', 'you', 'tell', 'me', 'how', 'to', 'do', 'that', 'or', 'do', 'you', 'know', 'some', 'other', 'way', 'to', 'download', 'big', 'files', 'because', 'they', 'can', 'download', 'stuff', 'directly', 'from', 'the', 'internet', 'any', 'help', 'would', 'be', 'great', 'my', 'prey', 'teasing', 'kiss']",458,hey sweet i was wondering when you had a moment if you might come to me i want to send a file to someone but it won t go over yahoo for them because their connection sucks remember when you set up that page for me to go to and download the format disc could you tell me how to do that or do you know some other way to download big files because they can download stuff directly from the internet any help would be great my prey teasing kiss
1513,0,"['hows', 'the', 'champ', 'just', 'leaving', 'glasgow']",36,hows the champ just leaving glasgow
1514,0,"['k', 'all', 'the', 'best', 'congrats']",28,k all the best congrats
1515,0,"['i', 'wonder', 'if', 'you', 'll', 'get', 'this', 'text']",33,i wonder if you ll get this text
1516,0,"['i', 'need', 'to', 'come', 'home', 'and', 'give', 'you', 'some', 'good', 'lovin']",51,i need to come home and give you some good lovin
1517,1,"['our', 'brand', 'new', 'mobile', 'music', 'service', 'is', 'now', 'live', 'the', 'free', 'music', 'player', 'will', 'arrive', 'shortly', 'just', 'install', 'on', 'your', 'phone', 'to', 'browse', 'content', 'from', 'the', 'top', 'artists']",157,our brand new mobile music service is now live the free music player will arrive shortly just install on your phone to browse content from the top artists
1518,0,"['shall', 'i', 'ask', 'one', 'thing', 'if', 'you', 'dont', 'mistake', 'me']",45,shall i ask one thing if you dont mistake me
1519,0,"['check', 'wid', 'corect', 'speling', 'i', 'e', 'sarcasm']",37,check wid corect speling i e sarcasm
1520,1,"['urgent', 'your', 'mobile', 'no', 'was', 'awarded', 'a', 'bonus', 'caller', 'prize', 'on', 'this', 'is', 'our', 'nd', 'attempt', 'to', 'contact', 'you', 'call', 'box', 'qu', 'bt', 'national', 'rate']",159,urgent your mobile no was awarded a bonus caller prize on this is our nd attempt to contact you call box qu bt national rate
1521,0,"['are', 'you', 'angry', 'with', 'me', 'what', 'happen', 'dear']",39,are you angry with me what happen dear
1522,0,"['i', 'thk', 'u', 'dun', 'haf', 'hint', 'in', 'e', 'forum', 'already', 'lor', 'cos', 'i', 'told', 'ron', 'n', 'darren', 'is', 'going', 'tell', 'shuhui']",96,i thk u dun haf hint in e forum already lor cos i told ron n darren is going tell shuhui
1523,0,"['yup', 'ok', 'thanx']",15,yup ok thanx
1524,0,"['hi', 'cts', 'employee', 'how', 'are', 'you']",29,hi cts employee how are you
1525,0,"['pls', 'pls', 'find', 'out', 'from', 'aunt', 'nike']",32,pls pls find out from aunt nike
1526,0,"['wow', 'i', 'love', 'you', 'sooo', 'much', 'you', 'know', 'i', 'can', 'barely', 'stand', 'it', 'i', 'wonder', 'how', 'your', 'day', 'goes', 'and', 'if', 'you', 'are', 'well', 'my', 'love', 'i', 'think', 'of', 'you', 'and', 'miss', 'you']",152,wow i love you sooo much you know i can barely stand it i wonder how your day goes and if you are well my love i think of you and miss you
1527,0,"['no', 'screaming', 'means', 'shouting']",29,no screaming means shouting
1528,0,"['hey', 'what', 'happen', 'de', 'are', 'you', 'alright']",36,hey what happen de are you alright
1529,0,"['should', 'i', 'have', 'picked', 'up', 'a', 'receipt', 'or', 'something', 'earlier']",54,should i have picked up a receipt or something earlier
1530,0,"['i', 'think', 'chennai', 'well', 'settled']",29,i think chennai well settled
1531,0,"['oh', 'dang', 'i', 'didn', 't', 'mean', 'o', 'send', 'that', 'to', 'you', 'lol']",47,oh dang i didn t mean o send that to you lol
1532,0,"['unfortunately', 'i', 've', 'just', 'found', 'out', 'that', 'we', 'have', 'to', 'pick', 'my', 'sister', 'up', 'from', 'the', 'airport', 'that', 'evening', 'so', 'don', 't', 'think', 'i', 'll', 'be', 'going', 'out', 'at', 'all', 'we', 'should', 'try', 'to', 'go', 'out', 'one', 'of', 'th']",172,unfortunately i ve just found out that we have to pick my sister up from the airport that evening so don t think i ll be going out at all we should try to go out one of th
1533,0,"['horrible', 'bf', 'i', 'now', 'v', 'hungry']",32,horrible bf i now v hungry
1534,0,"['remember', 'on', 'that', 'day']",22,remember on that day
1535,1,"['you', 'have', 'won', 'a', 'nokia', 'i', 'this', 'is', 'what', 'you', 'get', 'when', 'you', 'win', 'our', 'free', 'auction', 'to', 'take', 'part', 'send', 'nokia', 'to', 'now', 'hg', 'suite', 'lands', 'row', 'w', 'jhl']",150,you have won a nokia i this is what you get when you win our free auction to take part send nokia to now hg suite lands row w jhl
1536,0,"['how', 's', 'it', 'feel', 'mr', 'your', 'not', 'my', 'real', 'valentine', 'just', 'my', 'yo', 'valentine', 'even', 'tho', 'u', 'hardly', 'play']",91,how s it feel mr your not my real valentine just my yo valentine even tho u hardly play
1537,0,"['all', 'sounds', 'good', 'fingers', 'makes', 'it', 'difficult', 'to', 'type']",53,all sounds good fingers makes it difficult to type
1538,0,"['midnight', 'at', 'the', 'earliest']",24,midnight at the earliest
1539,0,"['you', 're', 'not', 'sure', 'that', 'i', 'm', 'not', 'trying', 'to', 'make', 'xavier', 'smoke', 'because', 'i', 'don', 't', 'want', 'to', 'smoke', 'after', 'being', 'told', 'i', 'smoke', 'too', 'much']",121,you re not sure that i m not trying to make xavier smoke because i don t want to smoke after being told i smoke too much
1540,0,"['k', 'come', 'to', 'nordstrom', 'when', 'you', 're', 'done']",36,k come to nordstrom when you re done
1541,0,"['do', 'u', 'konw', 'waht', 'is', 'rael', 'friendship', 'im', 'gving', 'yuo', 'an', 'exmpel', 'jsut', 'ese', 'tihs', 'msg', 'evrey', 'splleing', 'of', 'tihs', 'msg', 'is', 'wrnog', 'bt', 'sitll', 'yuo', 'can', 'raed', 'it', 'wihtuot', 'ayn', 'mitsake', 'goodnight', 'amp', 'have', 'a', 'nice', 'sleep', 'sweet', 'dreams']",212,do u konw waht is rael friendship im gving yuo an exmpel jsut ese tihs msg evrey splleing of tihs msg is wrnog bt sitll yuo can raed it wihtuot ayn mitsake goodnight amp have a nice sleep sweet dreams
1542,0,"['now', 'press', 'conference', 'da']",25,now press conference da
1543,1,"['hello', 'from', 'orange', 'for', 'month', 's', 'free', 'access', 'to', 'games', 'news', 'and', 'sport', 'plus', 'free', 'texts', 'and', 'photo', 'messages', 'reply', 'yes', 'terms', 'apply', 'www', 'orange', 'co', 'uk', 'ow']",156,hello from orange for month s free access to games news and sport plus free texts and photo messages reply yes terms apply www orange co uk ow
1544,0,"['after', 'completed', 'degree', 'there', 'is', 'no', 'use', 'in', 'joining', 'finance']",59,after completed degree there is no use in joining finance
1545,0,"['good', 'afternoon', 'my', 'love', 'any', 'job', 'prospects', 'are', 'you', 'missing', 'me', 'what', 'do', 'you', 'do', 'are', 'you', 'being', 'lazy', 'and', 'bleak', 'hmmm', 'or', 'happy', 'and', 'filled', 'with', 'my', 'love']",155,good afternoon my love any job prospects are you missing me what do you do are you being lazy and bleak hmmm or happy and filled with my love
1546,0,"['shant', 'disturb', 'u', 'anymore', 'jia', 'you']",37,shant disturb u anymore jia you
1547,0,"['bishan', 'lar', 'nearer', 'no', 'need', 'buy', 'so', 'early', 'cos', 'if', 'buy', 'now', 'i', 'gotta', 'park', 'my', 'car']",79,bishan lar nearer no need buy so early cos if buy now i gotta park my car
1548,0,"['me', 'i', 'dont', 'know', 'again', 'oh']",24,me i dont know again oh
1549,0,"['dude', 'sux', 'for', 'snake', 'he', 'got', 'old', 'and', 'raiden', 'got', 'buff']",50,dude sux for snake he got old and raiden got buff
1550,0,"['he', 'says', 'hi', 'and', 'to', 'get', 'your', 'ass', 'back', 'to', 'south', 'tampa', 'preferably', 'at', 'a', 'kegger']",75,he says hi and to get your ass back to south tampa preferably at a kegger
1551,0,"['in', 'e', 'msg', 'jus', 'now', 'u', 'said', 'thanks', 'for', 'gift']",41,in e msg jus now u said thanks for gift
1552,0,"['u', 'too']",8,u too
1553,0,"['ok', 'how', 'you', 'dear', 'did', 'you', 'call', 'chechi']",36,ok how you dear did you call chechi
1554,0,"['yeah', 'we', 'do', 'totes', 'when', 'u', 'wanna']",31,yeah we do totes when u wanna
1555,0,"['ok', 'i', 'found', 'dis', 'pierre', 'cardin', 'one', 'which', 'looks', 'normal', 'costs', 'its', 'on', 'sale']",73,ok i found dis pierre cardin one which looks normal costs its on sale
1556,0,"['good', 'sleep', 'is', 'about', 'rhythm', 'the', 'person', 'has', 'to', 'establish', 'a', 'rhythm', 'that', 'the', 'body', 'will', 'learn', 'and', 'use', 'if', 'you', 'want', 'to', 'know', 'more']",127,good sleep is about rhythm the person has to establish a rhythm that the body will learn and use if you want to know more
1557,0,"['wat', 'r', 'u', 'doing']",14,wat r u doing
1558,0,"['message', 'from', 'i', 'am', 'at', 'truro', 'hospital', 'on', 'ext', 'you', 'can', 'phone', 'me', 'here', 'as', 'i', 'have', 'a', 'phone', 'by', 'my', 'side']",97,message from i am at truro hospital on ext you can phone me here as i have a phone by my side
1559,0,"['single', 'line', 'with', 'a', 'big', 'meaning', 'miss', 'anything', 'ur', 'best', 'life', 'but']",73,single line with a big meaning miss anything ur best life but
1560,0,"['just', 'got', 'some', 'gas', 'money', 'any', 'chance', 'you', 'and', 'the', 'gang', 'want', 'to', 'go', 'on', 'a', 'grand', 'nature', 'adventure']",92,just got some gas money any chance you and the gang want to go on a grand nature adventure
1561,0,"['dnt', 'worry', 'use', 'ice', 'pieces', 'in', 'a', 'cloth', 'pack', 'also', 'take', 'tablets']",63,dnt worry use ice pieces in a cloth pack also take tablets
1562,0,"['dude', 'just', 'saw', 'a', 'parked', 'car', 'with', 'its', 'sunroof', 'popped', 'up', 'sux']",58,dude just saw a parked car with its sunroof popped up sux
1563,0,"['get', 'ready', 'to', 'put', 'on', 'your', 'excellent', 'sub', 'face']",46,get ready to put on your excellent sub face
1564,0,"['tmrw', 'im', 'finishing', 'doors']",26,tmrw im finishing doors
1565,0,"['the', 'g', 'that', 'i', 'saw', 'a', 'few', 'days', 'ago', 'the', 'guy', 'wants', 'sell', 'wifi', 'only', 'for', 'and', 'with', 'g', 'for', 'that', 's', 'why', 'i', 'blanked', 'him']",143,the g that i saw a few days ago the guy wants sell wifi only for and with g for that s why i blanked him
1566,0,"['i', 'am', 'late', 'i', 'will', 'be', 'there', 'at']",29,i am late i will be there at
1567,0,"['whatever', 'im', 'pretty', 'pissed', 'off']",31,whatever im pretty pissed off
1568,0,"['today', 'is', 'accept', 'day', 'u', 'accept', 'me', 'as', 'brother', 'sister', 'lover', 'dear', 'best', 'clos', 'lvblefrnd', 'jstfrnd', 'cutefrnd', 'lifpartnr', 'belovd', 'swtheart', 'bstfrnd', 'no', 'rply', 'means', 'enemy']",156,today is accept day u accept me as brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy
1569,0,"['i', 'dont', 'have', 'that', 'much', 'image', 'in', 'class']",37,i dont have that much image in class
1570,0,"['no', 'i', 'got', 'rumour', 'that', 'you', 'going', 'to', 'buy', 'apartment', 'in', 'chennai']",63,no i got rumour that you going to buy apartment in chennai
1571,0,"['near', 'kalainar', 'tv', 'office', 'thenampet']",33,near kalainar tv office thenampet
1572,1,"['ur', 'cash', 'balance', 'is', 'currently', 'pounds', 'to', 'maximize', 'ur', 'cash', 'in', 'now', 'send', 'go', 'to', 'only', 'p', 'msg', 'cc', 'hg', 'suite', 'lands', 'row', 'w', 'j', 'hl']",145,ur cash balance is currently pounds to maximize ur cash in now send go to only p msg cc hg suite lands row w j hl
1573,1,"['sms', 'auction', 'a', 'brand', 'new', 'nokia', 'is', 'up', 'auction', 'today', 'auction', 'is', 'free', 'join', 'take', 'part', 'txt', 'nokia', 'to', 'now', 'hg', 'suite', 'lands', 'row', 'w', 'j', 'hl']",149,sms auction a brand new nokia is up auction today auction is free join take part txt nokia to now hg suite lands row w j hl
1574,0,"['my', 'sis', 'is', 'catching', 'e', 'show', 'in', 'e', 'afternoon', 'so', 'i', 'm', 'not', 'watching', 'w', 'her', 'so', 'c', 'u', 'wan', 'watch', 'today', 'or', 'tmr', 'lor']",104,my sis is catching e show in e afternoon so i m not watching w her so c u wan watch today or tmr lor
1575,0,"['sounds', 'gd', 'haha', 'can', 'wah', 'u', 'yan', 'jiu', 'so', 'fast', 'liao']",58,sounds gd haha can wah u yan jiu so fast liao
1576,0,"['no', 'to', 'be', 'nosy', 'i', 'guess', 'idk', 'am', 'i', 'over', 'reacting', 'if', 'i', 'm', 'freaked']",62,no to be nosy i guess idk am i over reacting if i m freaked
1577,0,"['remember', 'all', 'those', 'whom', 'i', 'hurt', 'during', 'days', 'of', 'satanic', 'imposter', 'in', 'me', 'need', 'to', 'pay', 'a', 'price', 'so', 'be', 'it', 'may', 'destiny', 'keep', 'me', 'going', 'and', 'as', 'u', 'said', 'pray', 'that', 'i', 'get', 'the', 'mind', 'to', 'get', 'over', 'the', 'same']",184,remember all those whom i hurt during days of satanic imposter in me need to pay a price so be it may destiny keep me going and as u said pray that i get the mind to get over the same
